,text,sentimen,clean_teks
5479,Lebih dari semua ok Sangat dianjurkan hotel,positif,ok anjur hotel
5480,"Nice ruangan, kenyamanan tidur, Sarapan baik.",positif,nice ruang nyaman tidur sarap
5481,"Kamar yang besar dan nyaman, tempat tidur yang terlalu buruk sedikit tenggelam",negatif,kamar nyaman tidur buruk tenggelam
5482,"Pengalaman hebat, seperti yang diharapkan, bagus, bersih, layanan, kolam renang hangat adalah plus besar",positif,alam hebat harap bagus bersih layan kolam renang hangat plus
5483,Sudah kali kedua menginap di hotel ini. Sangat bagus dan nyaman. Makanan enak.,positif,kali inap hotel bagus nyaman makan enak
5484,Baik untuk romantis ... baik lokasi,positif,romantis lokasi
5485,Bagus dan bersih.,positif,bagus bersih
5486,Sempurna. Kenyamanan. Direkomendasikan,positif,sempurna nyaman rekomendasi
5487,"Kamar yang indah, makanan lezat dan rendah hati",positif,kamar indah makan lezat rendah hati
5488,secara keseluruhan masih ok. hanya pintu kamar mandi tidak bisa menutup dan memiliki bau tempat tidur kecil di kamar mandi.,positif,ok pintu kamar mandi tutup milik bau tidur kamar mandi
5489,Hotel yang bagus dengan fasilitas lengkap yang dapat digunakan.,positif,hotel bagus fasilitas lengkap
5490,baik untuk perjalanan bisnis dan liburan keluarga,positif,jalan bisnis libur keluarga
5491,kolam hangat .. Baik untuk balita ..,positif,kolam hangat balita
5492,"Hangat kolam renang untuk anak-anak, berbagai sarapan prasmanan, cepat check in &amp; keluar, layanan oke",positif,hangat kolam renang anakanak sarap prasmanan cepat check in amp layan oke
5493,Tempat yang bagus dan tidak pernah melupakannya .. jadi tujuan pertama saya jika saya kembali ke bandung,positif,bagus lupa tuju bandung
5494,"Kamar yang luas &amp; nyaman, dan kolam renang yang hangat juga.",positif,kamar luas amp nyaman kolam renang hangat
5495,"Saya suka Panghegar Hotel, tempat yang bagus ..",positif,suka panghegar hotel bagus
5496,"Best hotel in bandung, tempat sangat strategis, breakfast sangat beragam dan enak.",positif,best hotel in bandung strategis breakfast agam enak
5497,"Hotelnya nyaman dan bersih, suasanya juga enak dan nyaman.",positif,hotel nyaman bersih suasa enak nyaman
5498,"Clean, spacy, friendly staff. Old but well maintained hotel.",positif,clean spacy friendly staff old but well maintained hotel
5499,Very Clean and location strategic.,positif,very clean and location strategic
5500,"Great service and place, nice the view and so cool.",positif,great service and place nice the view and so cool
5501,Spa experience was bad. The rooms in the Spa area smell smoke of cigarettes. The staff are careless. The restaurant was very crowded. The food is okay.,negatif,spa experience was bad the rooms in the spa area smell smoke of cigarettes the staff are careless the restaurant was very crowded the food is okay
5502,"This is the second time we stay at the hotel. Overall is good. Room OK (TV, AC, Bathroom), Food OK, conveniences OK, we buy several things at the minimart with normal prices. The only downside is the parking lot. Need to change elevator and go up stairs to go to the basement.",positif,this is the second time we stay at the hotel overall is good room ok tv ac bathroom food ok conveniences ok we buy several things at the minimart with normal prices the only downside is the parking lot need to change elevator and go up stairs to go to the basement
5503,"Couldn't find any complaint, got all I need",negatif,couldnt find any complaint got all i need
5504,"Nice hotel, I will stay again. Hopefully I will have nice view and clean room again. Thank traveloka",positif,nice hotel i will stay again hopefully i will have nice view and clean room again thank traveloka
5505,I stayed for 3 days with my kids. Very nice and comfortable hotel. The Hotel has a heated pool. The bellboy help me when I needed a hair tie and they looked for me for free. Very touching ❤️,positif,i stayed for days with my kids very nice and comfortable hotel the hotel has a heated pool the bellboy help me when i needed a hair tie and they looked for me for free very touching
5506,"We've got a condotel loft room, its comfort and nice room and good interior I really love it, the breakfast menu so great, the pool also really nice. The location is in the center of Bandung, we can walk by through braga street.",positif,weve got a condotel loft room its comfort and nice room and good interior i really love it the breakfast menu so great the pool also really nice the location is in the center of bandung we can walk by through braga street
5507,"I’m so happy to stay with my family. The room is clean, the food is delicious, the pool is cozy.",positif,im so happy to stay with my family the room is clean the food is delicious the pool is cozy
5508,"Got an upgrade room, which was pleasing, got a room with balcony! The interior was a bit outdated but overall OK. The breakfast was varied and good, but make sure to get in the earliest, because their could be crowded. The location was perfect, no traffic around the hotel.",positif,got an upgrade room which was pleasing got a room with balcony the interior was a bit outdated but overall ok the breakfast was varied and good but make sure to get in the earliest because their could be crowded the location was perfect no traffic around the hotel
5509,Staff hotel sangat ramah membantu saat proses cek in.,positif,staff hotel ramah bantu proses cek in
5510,"Kolom renang nya bagus banget tapi agak kecewa karena hanya boleh yang pake baju renang untuk wanita. Kasian kalo yang gatau kaya saya. Makanan rasanya enak semua hanya saja kurang variasi seperti di salad saran bisa ditambah keju. Smoked beef, roti kurang variasi, thanks",positif,kolom renang nya bagus banget kecewa pake baju renang wanita kasi kalo gatau kaya makan enak variasi salad saran tambah keju smoked beef roti variasi thanks
5511,Vitrage bathtub nya bau karena tidak kering secara sempurna sehingga menimbulkan bau lembab yang tidak enak dan menyebar ke seisi ruang kamar mandi.,negatif,vitrage bathtub nya bau kering sempurna timbul bau lembab enak sebar isi ruang kamar mandi
5512,"Menginap 2 malam di el hotel bandung kamar bersih, pelayanan ok, cuma sayang untuk breakfast sekelas bintang 4 sangat tidak variatif.",positif,inap malam el hotel bandung kamar bersih layan ok sayang breakfast kelas bintang variatif
5513,+ Kamar cukup luas dengan pemandangan kolam renang. Staf ramah. Lokasi di tengah kota. Ada kolam renang air hangat.- minta double bed tp 2 kasur twin digabung. Sarapan antri sampai waiting list. Sarapan rasa biasa aja. Hari kedua untuk turun sarapan nunggu lift sampai setengah jam lebih.,positif,kamar luas pandang kolam renang staf ramah lokasi kota kolam renang air hangat double bed tp kasur twin gabung sarap antri waiting list sarap aja turun sarap nunggu lift jam
5514,"Positif: kami booking pasundan suite yang ternyata adalah unit apartemen 2 kamar tidur dah 2 kamar mandi. Agak berbeda dengan foto dan detail kamar saat booking yang menunjukkan 1 kamar dengan 1 double bed dan 1 single bed. Unit cukup bersih. Amenities komplit. Sarapan: soto kikil rasanya cukup enak. Negatif: kamar 761 menghadap rel kereta api, jadi tiap jam minimal ada 1x bunyi klakson kereta api (kecuali antara jam 11 malam sd 3 pagi saya ketiduran karena lelah) Suara dengung yang sangat mengganggu di kamar utama (kemungkinan dari unit outdoor AC di balkon) sepanjang kami menempati kamar. Karena kami check in sudah larut malam dan juga sudah lelah plus sudah selesai mandi, kami tidak minta pindah kamar dengan harapan dengungnya sementara. Ternyata hanya berhenti selama 3-5 menit untuk kemudian mulai berdengung lagi. Handuk sudah rusak tepiannya. Saran: alangkah baik jika handuk rusak diperbaiki dulu sebelum digunakan untuk tamu.",positif,positif booking pasundan suite unit apartemen kamar tidur dah kamar mandi beda foto detail kamar booking kamar double bed single bed unit bersih amenities komplit sarap soto kikil enak negatif kamar hadap rel kereta api jam minimal x bunyi klakson kereta api kecuali jam malam sd pagi tidur lelah suara dengung ganggu kamar utama unit outdoor ac balkon tempat kamar check in larut malam lelah plus selesai mandi pindah kamar harap dengung henti menit dengung handuk rusak tepi saran alangkah handuk rusak baik tamu
5515,"1. Sampai hotel jam 12 siang untuk check in saja, kemudian langsung pergi untuk makan siang, kembali ke hotel jam 15. Request slice cake ucapan ulang tahun untuk orang tua saya disediakan di kamar sebelum masuk kamar, tapi saat masuk kamar gak ada dan harus ditelepon ke operator dulu, padahal saat check in sudah request dan dijawab bisa oleh petugasnya (dan saya sudah bayar untuk slice cake nya 1 hari sebelum check in). 2. Mau sarapan antri dan waiting list dulu, alasan staf resto setiap weekend selalu overload. Lalu jika seperti ini tidak ada tindak lanjut agar tidak berulang. Hotel bintang 4 mau sarapan harus waiting list. 3. Menu sarapan untuk hotel bintang 4 sedikit variasinya. 4. Kamar bersih, proses check in dan check out cepat. 5. Meja resepsionis (saat saya check in) berantakan banget, kertas-kertas bertebaran di atas meja, tumpukan-tumpukan barang (mungkin titipan customer) tidak disusun dengan rapih.",positif,hotel jam siang check in langsung pergi makan siang hotel jam request slice cake ucap ulang orang tua sedia kamar masuk kamar masuk kamar gak telepon operator check in request tugas bayar slice cake nya check in sarap antri waiting list alas staf resto weekend overload tindak ulang hotel bintang sarap waiting list menu sarap hotel bintang variasi kamar bersih proses check in check out cepat meja resepsionis check in beranta banget kertaskertas tebar meja tumpukantumpukan barang titip customer susun rapih
5516,"Kekurangan hotel ini ada di lift yang sangat lama, bisa 5 menit mau naik dan turun, juga pelayanan di resto sangat buruk, hanya pesan es kopi 1 jam gak datang-datang, ditelepon bolak balik katanya di jalan di lift, mengecewakan untuk dining room nya. Toiletnya perlu diganti karena shower penuh kerak dan toilet semprotannya macet padahal di room executive.",negatif,kurang hotel lift menit turun layan resto buruk pesan es kopi jam gak datangdatang telepon bolak jalan lift kecewa ning room nya toilet ganti shower penuh kerak toilet semprot macet room executive
5517,"Overall pelayanannya oke, namun agak kurang dimenu makanan dan rasa makanannya.",positif,overall layan oke menu makan makan
5518,"Seneng sama hotelnya, kamar bersih, pelayanan ramah, parkiran luas, lobi bagus, kolam renang juga besar. Sayang cakupan cctv di parkiran kurang memadai, ketinggalan tas di parkiran dan hilang tidak terlacak.",positif,neng hotel kamar bersih layan ramah parkir luas lobi bagus kolam renang sayang cakup cctv parkir pada tinggal tas parkir hilang lacak
5519,"Fasilitas kamar untuk type condotel cukup lengkap, hanya tolong diperhatikan kebersihan sprei & sarbannya, Menu breakfast bervariasi dengan pelayanan memuaskan dan enak-enak, swimming pool luas, air bersih, thx for hospitality El Royale!",positif,fasilitas kamar type condotel lengkap tolong perhati bersih sprei sarbannya menu breakfast variasi layan muas enakenak swimming pool luas air bersih thx for hospitality el royale
5520,"Hotel ini cocok untuk staycation. Saya pilih condotel studio. Kamarnya nyaman, amenities lengkap, kamar mandi ada bath tubnya dan ada di lantai 18. Wifi juga bagus cuma channel tv tidak begitu banyak, tapi cukuplah. Ada swimming pool juga. Hanya 1 yang membuat saya tidak nyaman, yaitu pada saat breakfast. Petugas di bagian dessert tidak ramah, saya ingin makan bread pudding, saya minta ditambah 1 potong lagi karena dimakan berdua dengan anak saya, jadi. 3 potong untuk dimakan berdua. Tapi dia langsung melihat saya dengan judes dan seperti tidak mau memberi lagi. Padahal saya lihat tamu-tamu lain diberi 2 potong padahal untuk dimakan sendiri. Baru pertama kali saya mengalami kejadian seperti ini pada saat staycation. Tolong hospitality petugas yang ini lebih ditingkatkan lagi. Maaf jika mungkin saya terlalu berlebihan.",positif,hotel cocok staycation pilih condotel studio kamar nyaman amenities lengkap kamar mandi bath tubnya lantai wifi bagus channel tv swimming pool nyaman breakfast tugas dessert ramah makan bread pudding tambah potong makan dua anak potong makan dua langsung judes lihat tamutamu potong makan kali alami jadi staycation tolong hospitality tugas tingkat maaf
5521,"Lokasi strategis untuk wisata kota. Kamar luas-tapi karpetnya tidak terawat dan berdebu. Pelayanan terasa pas-pasan untuk kelas 4 bintang (telepon ke operator lama sekali baru diangkat, jumlah kartu akses dibatas 1, dan lain-lain. Dan lain-lain).",negatif,lokasi strategis wisata kota kamar luastapi karpet awat debu layan paspasan kelas bintang telepon operator angkat kartu akses batas lainlain lainlain
5522,Pelayanan ramah boleh request kamar check in sebelum jam check in diperbolehkan masuk kamar lokasi strategis breakfast enak. Kamar kurang bersih.,positif,layan ramah request kamar check in jam check in boleh masuk kamar lokasi strategis breakfast enak kamar bersih
5523,"Fasilitas oke, sayangnya receptionis kurang ramah. Order 2 cake ultah untuk 2 kamar, yang datang cuma 1, setelah dikonfrm ulang sampai 3 kali baru diantar.",positif,fasilitas oke sayang receptionis ramah order cake ultah kamar dikonfrm ulang kali antar
5524,"Tempat yang modern awal datang, lokasi oke dekat Braga, proses check-in cepat karena kebetulan untuk tipe yang el room jarang dipakai tapi itu minusnya karena jarang di pakai ruangan kurang bersih pas buka pintu langsung bau rokok. Kolam cukup luas, ada air hangatnya tapi di kolam dewasa juga airnya tidak terlalu dingin, sarapan untuk rasa enak.",positif,modern lokasi oke braga proses checkin cepat tipe el room jarang pakai minus jarang pakai ruang bersih pas buka pintu langsung bau rokok kolam luas air hangat kolam dewasa air dingin sarap enak
5525,"Tempatnya bagus, anak-anak juga senang, dekat ke Braga. Kurangnya cuma mungkin ruangannya kurang kedap suara karena pintu kamar sebelah berapa jam sekali kedengaran terus nutupnya kencang gitu. Makanannya juga kurang bervariasi kaya hotel berbintang lainnya. Mungkin karena lagi covid kali ya.",positif,tempat bagus anakanak senang braga kurang ruang kedap suara pintu kamar belah jam dengar nutupnya kencang gitu makan variasi kaya hotel bintang covid kali ya
5526,Di peak season liftnya satu dari 4 lift tidak berfungsi. Kapasitas lift sangat kecil sehingga sangat antri ketika jam sibuk. Apalagi yang lantai paling atas. Kadang belum sampai sudah atas sudah full sehingga dilewat.,positif,peak season lift lift fungsi kapasitas lift antri jam sibuk lantai kadang full lewat
5527,"Biasa saja sih, untuk breakfast juga biasa untuk bintang. 4. kolam renangnya saja yang enak besar.",positif,sih breakfast bintang kolam renang enak
5528,"Hotel tua yang lumayan masih terawat, tapi karena lagi musim liburan, hotelnya terlalu padat tamu. Antri lift luar biasa lamanya, breakfast pun juga susah bergerak di dalam restonya karena terlalu padat. Jadi memang kurang nyaman menginap dengan kondisi terlalu padat seperti itu. Mungkin next time akan coba lagi menginap di low season.",negatif,hotel tua lumayan awat musim libur hotel padat tamu antri lift breakfast susah gerak restonya padat nyaman inap kondisi padat next time coba inap low season
5529,"Alhamdulillah puas, hanya saja kendala dilLift 😔",positif,alhamdulillah puas kendala dillift
5530,"Hotelnya enak banget, tapi liftnya lama banget.",positif,hotel enak banget lift banget
5531,"Plusnya, kolam renang besar, anak-anak senang bermain di situ. Kamar luas, cocok buat liburan keluarga minusnya. Air di kamar mandi menggenang di lantai, susah dikeringkan. Sampai anak saya terpeleset. Mau turun ke tidak ataupun naik ke kamar menyebalkan harus menunggu lift cukup lama karena sering penuh. Breakfast nasi gorengnya tidak enak, menu yang lain juga biasa saja.",negatif,plus kolam renang anakanak senang main situ kamar luas cocok libur keluarga minus air kamar mandi genang lantai susah kering anak peleset turun kamar sebal tunggu lift penuh breakfast nasi goreng enak menu
5532,"Hotelnya bersih, staf hotelnya ramah-ramah, untuk sarapan mengingat ini hotel bintang 4 kurang variasi dan rasanya standar.",positif,hotel bersih staf hotel ramahramah sarap hotel bintang variasi standar
5533,"Lobby hotel luas, interiornya mewah. Ada lounge dengan tempat duduk yang banyak dekat loby untuk bersantai dan mengobrol dengan kolega/tamu. Akan tetapi interior di dalam kamar terlihat jadul, nilai plusnya lantai kamar dilapisi karpet, sarapan enak dan bervariasi. Lokasi strategis dekat dengan Braga. Setiap pagi ada live permainan musik traditional dekat kolam ikan yang membuat mata dan telingga sejuk mendengarnya.",positif,lobby hotel luas interior mewah lounge duduk loby santa obrol kolegatamu interior kamar jadul nilai plus lantai kamar lapis karpet sarap enak variasi lokasi strategis braga pagi live main musik traditional kolam ikan mata telingga sejuk dengar
5534,"Kamar oke, AC dingin, tapi lokasi lift parkir dan lift kamar beda jadi jauh jalannya, apa lagi beberapa kali ada yang mau diambil di mobil jadi cape. Makanan biasa dan restorannya tertutup jadi kaya gelap dan sesak, yang lainnya oke.",negatif,kamar oke ac dingin lokasi lift parkir lift kamar beda jalan kali ambil mobil cape makan restoran tutup kaya gelap sesak oke
5535,"Check in cepat, kamar bagus view bagus, hanya saat itu ada yang menikah, hotel sangat ramai, lift antri sangat lama, 19 lantai dengan 3 lift, sarapan bolak balik di lobi penuh, di lantai 19 penuh, antri kursi cukup lama, sarapan kehabisan, tinggal sisa-sisa selebihnya bagus.",positif,check in cepat kamar bagus view bagus meni hotel ramai lift antri lantai lift sarap bolak lobi penuh lantai penuh antri kursi sarap habis tinggal sisasisa lebih bagus
5536,"Tampilan hotel mewah, proses Check in dan Check out cepat.",positif,tampil hotel mewah proses check in check out cepat
5537,"Pelayanannya kurang, padahal saya check-in jam 18.00, masih harus tunggu kamar yang satu lagi sedang dibersihkan. saya booking 2 kamar.",negatif,layan checkin jam tunggu kamar bersih booking kamar
5538,"Overall bagus, tapi toiletnya berbau dan ada binatang kecil",positif,overall bagus toilet bau binatang
5539,"Pelayanan baik, mulai dari lobby, check-in, kamar juga sesuai permintaan saya.",positif,layan lobby checkin kamar sesuai minta
5540,"Salah satu yang menjadi perhatian saya pada saat masuk adalah. Sewaktu dikamar ada bau bau yang kurang sedap. Kamar mandi yang masih model lama serta tata letak TV yang tidak sepertianya Hotel hotel jaman sekarang, tapi untuk ukuran kolam renang bagus dan besar, Anak saya suka. Makanan pagi juga bervariasi. Kamar besar hanya masih berbentuk hotel lama.",positif,salah perhati masuk kamar bau bau sedap kamar mandi model tata letak tv sepertianya hotel hotel jaman ukur kolam renang bagus anak suka makan pagi variasi kamar bentuk hotel
5541,Semuanya ok hanya perlu ditingkatkan waktu menunggu saat check in agar tidak terlalu lama. Salah satu hotel favorit keluarga kami.,positif,ok tingkat tunggu check in salah hotel favorit keluarga
5542,"Interior kamar masih lawas banget. Wastafel ada di luar bathroom juga terasa janggal. Kamarnya agak sempit untuk harga 1jt an, menu breakfast lumayan, lift beberapa kali macet",positif,interior kamar lawas banget wastafel bathroom janggal kamar sempit harga jt an menu breakfast lumayan lift kali macet
5543,"Bagus, hanya kebersihan kamar mandi nya lebih ditingkatkan lagi",positif,bagus bersih kamar mandi nya tingkat
5544,Pelayan dining room yang mengecewakan. Anak-anak saya memesan makanan dan petugas menyatakan tidak bisa pembayaran saat check out. Apakah mereka menilai tamu tamu seperti saya akan kabur dengan meninggalkan kewajiban pembayaran beberapa puluh ribu? Keterlaluan.,negatif,layan ning room kecewa anakanak mes makan tugas bayar check out nilai tamu tamu kabur tinggal wajib bayar puluh ribu
5545,"Cukup bagus, Sesuai dengan harga",positif,bagus sesuai harga
5546,"Saya menginap dengan keluarga karena bawa anak-anak saya pesan 2 kamar tapi kamar yang 1 menurut anak saya dikasur ada nasi dan dilantai masih ada tisue mungkin bekas yang menginap disana, mohon untuk pihak hotel agar pada saat membersihkan kamar lebih detail lagi, dan untuk lomba anak anak karena tempatnya diarea pool dan bertepatan dengan wktnya breakfast jadi kita tidak bisa ikutan, mungkin sebagai saran acara dilakuan jangan disana agar bisa banyak peserta yang ikut, so far itu aja yang kurangnya. Staf good ramah-ramah makanan juga oke...",positif,inap keluarga bawa anakanak pesan kamar kamar anak kasur nasi lantai tisue bekas inap sana mohon hotel bersih kamar detail lomba anak anak tempat area pool tepat wktnya breakfast ikut saran acara laku sana serta so far aja kurang staf good ramahramah makan oke
5547,hotel tua yang diremajakan. kurang sentuhan modern,positif,hotel tua remaja sentuh modern
5548,"Crowed bgt, makanan tidak bariatif dan kurang enak. Kurang bisa menikmati suasana disini karena ramai banget untuk harga segitu.",positif,crowed bgt makan bariatif enak nikmat suasana ramai banget harga segitu
5549,Kalau banyak tamu kurang begitu di perhatikan,positif,tamu perhati
5550,"Menyenangkan ada bath tub dan kolam air hangat, anak-anak senang,hanya saja makanan untuk sarapan kurang variasi tetap sama seperti waktu mennginap disini tahun 2015 dan 2016.",positif,senang bath tub kolam air hangat anakanak senanghanya makan sarap variasi mennginap
5551,kolam renang kurang hangat dan makanan biasa saja,negatif,kolam renang hangat makan
5552,over all sudah memuaskan.hanya makanan karena beda hari koq jadi kurang enak.,positif,over all memuaskanhanya makan beda koq enak
5553,Makanan tidak sesuai dengan status bintang 4 variasi dan rasa jauh dari memuaskan,positif,makan sesuai status bintang variasi muas
5554,"Tidak ada staff hotel yang membantu membawakan barang baik saat check in ataupun check out. Kita membawa semuanya sendiri. It was bad, karena hotel sangat besar dan kami membawa bayi jadi sangat merepotkan harus membawa barang sendiri.",negatif,staff hotel bantu bawa barang check in check out bawa it was bad hotel bawa bayi repot bawa barang
5555,"Pelayanan memuaskan, upgrade free ke condotel, kamar luas tapi sayang kasurnya kurang empuk jadi kurang nyaman, tapi secara kseluruhan oke banget, pas buat liburan keluarga.",positif,layan muas upgrade free condotel kamar luas sayang kasur empuk nyaman kseluruhan oke banget pas libur keluarga
5556,Seperti biasa hotelnya masih nyaman tapi air di kamar mandinya kotor jadi tidak bisa dipake di bathtub,negatif,hotel nyaman air kamar mandi kotor dipake bathtub
5557,Kana room so far bagus view ke swimming pool tapi menu breakfast biasa tidak sprt hotel bintang 4.,positif,kana room so far bagus view swimming pool menu breakfast sprt hotel bintang
5558,"Dekat dengan malioboro, mudah cari kuliner. Breakfast sederhana.",positif,malioboro mudah cari kuliner breakfast sederhana
5559,huwaw hotelnya terlihat antik dan bagus pelayanan ramah kolam renang oke udah 25 karakter kan kalau kek gini. Oh tapi colokan kurang di tiap kamar TQ.,positif,huwaw hotel antik bagus layan ramah kolam renang oke udah karakter kek gin oh colok kamar tq
5560,Cocok buat keluarga bersih dan,positif,cocok keluarga bersih
5561,"Over all memuaskan, hanya saja waktu dateng mau check in, kamar yang dipesan belum siap, padahal sudah jam 4 sore, jadi agak kecewa karena anak-anak sudah lelah dan mau istirahat. Mudah-mudahan kedepannya bisa lebih baik lagi.",negatif,over all muas dateng check in kamar pes jam sore kecewa anakanak lelah istirahat mudahmudahan depan
5562,"Secara keseluruhan itu adalah pengalaman yang baik selama saya tinggal di El Hotel Bandung, tetapi saya memikirkan sesuatu tentang listrik mati 2 kali di malam hari dan alarm kebakaran berdering lama sekali tanpa informasi apa pun. Dan satu hal lagi adalah kamarnya tidak kedap suara, saya mendengar bayi menangis berkali-kali. Mungkin perbaikan apa pun untuk masalah itu akan bagus. Terima kasih.",positif,alam tinggal el hotel bandung pikir listrik mati kali malam alarm bakar dering informasi kamar kedap suara dengar bayi menang berkalikali baik bagus terima kasih
5563,Ini adalah hotel tua tapi terawat dengan baik.Namun tolong perbaiki kamar mandi (terutama untuk mandi) dan tempat tidur saya pikir ini saatnya untuk diubah..sarapan baik.banyak variasi makanan,positif,hotel tua awat baiknamun tolong baik kamar mandi mandi tidur pikir diubahsarapan baikbanyak variasi makan
5564,"Hotel ini dekat dengan area publik, pusat perbelanjaan &amp; suasananya bagus, stafnya sangat ramah. Sayangnya, karena ini adalah musim puncak, periode check-in cukup lama, jadi butuh setengah jam untuk masuk ke kamar kami.",positif,hotel area publik pusat belanja amp suasana bagus staf ramah sayang musim puncak periode checkin butuh jam masuk kamar
5565,"Mereka meningkatkan kamar ke kondominium tel di lantai paling atas, pemandangan indah dan kamar besar yang bagus, bagus untuk liburan keluarga.",positif,tingkat kamar kondominium tel lantai pandang indah kamar bagus bagus libur keluarga
5566,"Ini bagus dan nyaman, tetapi resepsi perlu ditingkatkan, Anda harus membuat antrian untuk orang-orang untuk mengantri daripada membiarkan mereka datang kepada Anda sekaligus, sangat tidak terorganisir tentang itu! Saya juga memperhatikan debu di ruangan khusus di atas baskom",positif,bagus nyaman resepsi tingkat antri orangorang antri biar organisir perhati debu ruang khusus baskom
5567,Saya mendapat upgrade gratis di sini ke kamar suite karena tidak tersedia kamar yang telah saya pesan .. kolam renangnya bagus.kamar tidurnya bagus tapi sarapannya begitu ...,positif,upgrade gratis kamar suite sedia kamar pesan kolam renang baguskamar tidur bagus sarap
5568,Hebat tinggal bersama keluarga saya. Sayangnya kolam ditutup selama kami tinggal karena renovasi mereka.,positif,hebat tinggal keluarga sayang kolam tutup tinggal renovasi
5569,Kamar yang luas. Kolam renang yang bagus. Staf sangat membantu. Tapi sarapan tidak layak untuk harga. Direkomendasikan secara keseluruhan.,positif,kamar luas kolam renang bagus staf bantu sarap layak harga rekomendasi
5570,Lokasi dan makanannya ok. Tetapi saluran TV buruk karena tidak ada sinyal untuk semua saluran pada hari Minggu 1 April 2018. Terlalu banyak tamu sementara kekurangan kursi untuk sarapan.,positif,lokasi makan ok salur tv buruk sinyal salur minggu april tamu kurang kursi sarap
5571,"Hotel yang bagus, lokasi strategis dan pelayanan yang baik. 👍🏻👍🏻😉",positif,hotel bagus lokasi strategis layan
5572,"Hotel dengan kualitas, Anda mendapatkan apa yang Anda bayar",netral,hotel kualitas bayar
5573,Secara keseluruhan itu baik tapi berbagai makanan pada sarapan adalah beberapa di sisi lain pelanggan yang penuh sesak.,positif,makan sarap sisi langgan penuh sesak
5574,"layanan yang baik, check-in di meja depan adalah cepat. lokasi baik, dekat ke gereja, tidak jauh dari pusat kota. pacar saya memiliki pengalaman tidak menyenangkan dengan keamanan hotel. mereka semua meminta nomor gadis telepon saya. Aku tinggal di condotel (itu upgrade gratis dari hotel-terima kasih!) Ruang tirai itu sangat berdebu, teman saya menjadi Sneezy sepanjang malam karena atau tirai berdebu.",positif,layan checkin meja cepat lokasi gereja pusat kota pacar milik alam senang aman hotel nomor gadis telepon tinggal condotel upgrade gratis hotelterima kasih ruang tirai debu teman sneezy malam tirai debu
5575,Itu selalu bagus untuk tinggal di hotel ini belum kemarin saya menemukan handuk kotor dan selimut di kamar saya.,netral,bagus tinggal hotel kemarin temu handuk kotor selimut kamar
5576,perawatan lebih harus lebih perhatian terhadap detail. Secara keseluruhan staf Hospitality yang fantastis ... The Parkir Man juga membantu ..... Bravo Mas Eri ...,positif,awat perhati detail staf hospitality fantastis the parkir man bantu bravo mas eri
5577,"Menginap di el Hotel Royale Bandung, cukup menyenangkan, karena lokasinya yang cukup strategis dekat dengan Braga. Kamarnya pun lumayan luas dan ada fasilitas mini marketnya, sarapannya juga cukup variatif. Saya memilih type eksekutif karena tertarik luas kamar dan ada balkonnya dengan 2 single bed, ternyata untuk tipe kamar itu hanya tersedia twin bed dan lokasi kamarnya di bagian apartemen, bukan di hotelnya meski lantainya terkoneksi, sungguh agak mengecewakan.",positif,inap el hotel royale bandung senang lokasi strategis braga kamar lumayan luas fasilitas mini marketnya sarap variatif pilih type eksekutif tarik luas kamar balkon single bed tipe kamar sedia twin bed lokasi kamar apartemen hotel lantai koneksi sungguh kecewa
5578,"Saya menginap di El Royal dengan tipe kamar El hotel, kamarnya kecil sekali, bahkan dibanding kamar hotel lain masih lebih kecil El Hotel, kamar bersih, breakfast enak, ada mini market 24 jam, oh iya spaghetti nya enak banget, cuma 25 ribu",positif,inap el royal tipe kamar el hotel kamar banding kamar hotel el hotel kamar bersih breakfast enak mini market jam oh iya spaghetti nya enak banget ribu
5579,"Parkir luas, check in cepat, masuk kamar bau rokok, ternyata kamar yang ditempatin ex kamar buat perokok, minta minta kamar tidak bisa sudah full. Jadi tiap habis dari luar masuk kamar mesti semprot air spray sanitizer yang kebetulan bawa sendiri biar bau rokok nya hilang sebelum hidupin ac.",positif,parkir luas check in cepat masuk kamar bau rokok kamar ditempatin ex kamar okok kamar full habis masuk kamar mesti semprot air spray sanitizer bawa biar bau rokok nya hilang hidupin ac
5580,"Vintage banget kamarnya, nyaman tapi karena pinggir jalan banget dan kurang kedap suara jadi pas malam mau tidur kedengaran banget suara jalan raya. Yang paling suka poolnya, breakfast banyak macam. Staffnya agak kurang ramah tapi mungkin karena sibuk di weekend.",positif,vintage banget kamar nyaman pinggir jalan banget kedap suara pas malam tidur dengar banget suara jalan raya suka poolnya breakfast staffnya ramah sibuk weekend
5581,"Kamar yang diberikan beda dengan yang dipesan, harga makanan yang cukup mahal jika pesan biasa kalau breakfast biasa saja, Terlalu banyak aturan plus tidur kurang nyaman karena berisik dengan keadaan jalan disekitarnya sama kereta. Kelebihannya cuma punya WiFi kencang sama kolam renang yang memuaskan sisanya perlu diperbaiki.",positif,kamar beda pes harga makan mahal pesan breakfast atur plus tidur nyaman berisik jalan sekitar kereta lebih wifi kencang kolam renang muas sisa baik
5582,"Meskipun kamarnya bau, tapi fasilitasnya komplet.",negatif,kamar bau fasilitas komplet
5583,Sesuai dengan yang tertera untuk fasilitas. Cuma proses check-in hampar 2 jam nuggu. Dan fasilitas tombol air pada kloset rusak.,negatif,sesuai tera fasilitas proses checkin hampar jam nuggu fasilitas tombol air kloset rusak
